Name,Link,Name_Abbreviated,Last_Name,First_Name,SHP_Website_Terminal_Degree,Last_First
"Afrinash Ahamad, MS, MLS (ASCP)CM",https://healthprofessions.stonybrookmedicine.edu/programs/clinical/about/faculty/ahamad,Afrinash Ahamad,Ahamad,Afrinash,NO,"Ahamad, Afrinash"
"Anu Andrews, MA, RRT",https://healthprofessions.stonybrookmedicine.edu/programs/rc/faculty/andrews,Anu Andrews,Andrews,Anu,NO,"Andrews, Anu"
"Muhammad Sikandar Aslam, MBBS (MD), MPH",https://healthprofessions.stonybrookmedicine.edu/programs/hs/about/faculty/aslam,Muhammad Sikandar Aslam,Aslam,Muhammad,YES,"Aslam, Muhammad"
"Sarah Battaglia, MA",https://healthprofessions.stonybrookmedicine.edu/programs/otp/about/staff/battaglia,Sarah Battaglia,Battaglia,Sarah,NO,"Battaglia, Sarah"
"Luke Beermann, MS, ATC",https://healthprofessions.stonybrookmedicine.edu/programs/at/about/faculty/new_member_2,Luke Beermann,Beermann,Luke,NO,"Beermann, Luke"
Regina Biasetti,https://healthprofessions.stonybrookmedicine.edu/programs/at/about/faculty/biasetti,Regina Biasetti,Biasetti,Regina,NO,"Biasetti, Regina"
"Teresa Blaskopf, MA",https://healthprofessions.stonybrookmedicine.edu/about/leadership,Teresa Blaskopf,Blaskopf,Teresa,NO,"Blaskopf, Teresa"
"Dawn Blatt, PT, DPT, MS",/programs/pt/eldpt/faculty/blatt,Dawn Blatt,Blatt,Dawn,YES,"Blatt, Dawn"
"Debra A. Brown, JD",https://healthprofessions.stonybrookmedicine.edu/cphe/sbstaff,Debra A. Brown,Brown,Debra,NO,"Brown, Debra"
"Christina Burke, PT, DPT, Board-Certified Neurology Clinical Specialist",/programs/pt/eldpt/faculty/burke,Christina Burke,Burke,Christina,YES,"Burke, Christina"
"Rosalia Casanova, OTD, OTR/L",https://healthprofessions.stonybrookmedicine.edu/programs/otp/about/faculty/casanova-charles,Rosalia Casanova,Casanova,Rosalia,NO,"Casanova, Rosalia"
"Elisabel Chang, MS, CCC-SLP, TSSLD-BE",https://healthprofessions.stonybrookmedicine.edu/programs/speech-language-pathology/faculty-staff/faculty-staff,Elisabel Chang,Chang,Elisabel,NO,"Chang, Elisabel"
"Breanna Coach, MSW",https://healthprofessions.stonybrookmedicine.edu/programs/hs/about/faculty/OLeary,Breanna Coach,Coach,Breanna,NO,"Coach, Breanna"
"Dale Coffin, EdD, OTR/L",https://healthprofessions.stonybrookmedicine.edu/programs/otp/about/faculty/coffin,Dale Coffin,Coffin,Dale,YES,"Coffin, Dale"
"Donna Crapanzano, MPH, PA-C",/programs/hs/about/faculty/crapanzano,Donna Crapanzano,Crapanzano,Donna,YES,"Crapanzano, Donna"
"Ann Cuccia, MPH, RRT-NPS, RPFT, AE-C, FAARC",https://healthtechnology.stonybrookmedicine.edu/programs/rc/faculty/cuccia,Ann Cuccia,Cuccia,Ann,NO,"Cuccia, Ann"
"Sharon Cuff, LMSW",/programs/hs/about/faculty/cuff,Sharon Cuff,Cuff,Sharon,NO,"Cuff, Sharon"
"Paul-Neil Czujko, PT, DPT, PhD, MTC, CSCS",/programs/pt/eldpt/faculty/czujko,Paul-Neil Czujko,Czujko,Paul-Neil,YES,"Czujko, Paul-Neil"
"Rasheed Davis, MS, PAC",https://healthtechnology.stonybrookmedicine.edu/rasheed_davis,Rasheed Davis,Davis,Rasheed,NO,"Davis, Rasheed"
"Karen DeChello, OTD, OTR/L, CEA",/programs/otp/about/faculty/dechello,Karen DeChello,DeChello,Karen,NO,"DeChello, Karen"
"James C. Deutcsh, MSN, RN, NRP, CIC",https://healthprofessions.stonybrookmedicine.edu/programs/emt/about/faculty/deutcsh,James C. Deutcsh,Deutcsh,James,NO,"Deutcsh, James"
"Maria Dimopoulos, PhD, MBA, RT(T)",https://healthprofessions.stonybrookmedicine.edu/programs/hs/about/faculty/dimopoulos,Maria Dimopoulos,Dimopoulos,Maria,YES,"Dimopoulos, Maria"
"Paul Dominguez, PhD",https://healthprofessions.stonybrookmedicine.edu/about/leadership,Paul Dominguez,Dominguez,Paul,YES,"Dominguez, Paul"
"Lisa M. Endee, MPH, RRT-SDS, RPSGT, RST",https://healthtechnology.stonybrookmedicine.edu/programs/rc/faculty/endee,Lisa M. Endee,Endee,Lisa,NO,"Endee, Lisa"
"Renee Fabus, PhD, CCC-SLP, TSHH",https://healthtechnology.stonybrookmedicine.edu/programs/speech-language-pathology/faculty-staff/faculty-staff,Renee Fabus,Fabus,Renee,YES,"Fabus, Renee"
"Donna Ferrara, DHSc, PA-C",/programs/pa/elpa/faculty/ferrara,Donna Ferrara,Ferrara,Donna,YES,"Ferrara, Donna"
"Erik Flynn, MS",https://healthprofessions.stonybrookmedicine.edu/about/experts/flynn,Erik Flynn,Flynn,Erik,NO,"Flynn, Erik"
Alexis Forde,https://healthprofessions.stonybrookmedicine.edu/programs/pt/eldpt/faculty/forde,Alexis Forde,Forde,Alexis,NO,"Forde, Alexis"
"Hana Fukuto, PhD, SMB(ASCP)CM",https://healthprofessions.stonybrookmedicine.edu/programs/clinical/about/faculty/fukuto,Hana Fukuto,Fukuto,Hana,YES,"Fukuto, Hana"
"Xristos K. Gaglias, PhD, ATC",/programs/at/about/faculty/gaglias,Xristos K. Gaglias,Gaglias,Xristos,YES,"Gaglias, Xristos"
"Sean Getty, OTD, OTR/L",/programs/otp/about/faculty/getty,Sean Getty,Getty,Sean,NO,"Getty, Sean"
"Edward Giarrusso, MPAS, PA-C, DFAAPA",/programs/pa/elpa/faculty/giarrusso,Edward Giarrusso,Giarrusso,Edward,NO,"Giarrusso, Edward"
