uid,title,types,sourceTypes,citations,source.sourceTitle,source.publishYear,source.publishMonth,source.volume,source.supplement,source.pages.range,source.pages.begin,source.pages.end,source.pages.count,names.authors,links.record,identifiers.issn,identifiers.eissn,keywords.authorKeywords,source.issue,links.references,links.related,identifiers.doi,identifiers.pmid,names.bookCorp,identifiers.isbn,names.bookEditors,source.specialIssue,identifiers.eisbn,source.articleNumber,names.corp
WOS:000208830701189,EFFECT OF SUGARS ON IN VIVO NITRATE REDUCTION IN BARLEY LEAVES IN LIGHT AN DARKNESS UNDER AEROBIC CONDITIONS,['Abstract'],['Meeting Abstract'],"[{'db': 'WOK', 'count': 0}]",PLANT PHYSIOLOGY,1983,MAY,72,1,129-129,129,129,1,"[{'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'DSY-5115-2022'}, {'displayName': 'Huffaker, Ray C.', 'wosStandard': 'Huffaker, RC', 'researcherId': 'CUO-8534-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000208830701189&DestLinkType=FullRecord&DestApp=WOS_CPL,0032-0889,1532-2548,[],,,,,,,,,,,,
WOS:000208830601071,EFFECTS OF VARIOUS FORMS OF NITROGEN NUTRITION ON THE DEVELOPMENT OF NITRATE AND NITRITE REDUCTASE ACTIVITIES IN GLYCINE MAX [L.] MERR,['Abstract'],['Meeting Abstract'],"[{'db': 'WOK', 'count': 0}]",PLANT PHYSIOLOGY,1984,MAY,75,1,119-119,119,119,1,"[{'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'DSY-5115-2022'}, {'displayName': 'Huffaker, Ray', 'wosStandard': 'Huffaker, R', 'researcherId': 'CWN-5345-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000208830601071&DestLinkType=FullRecord&DestApp=WOS_CPL,0032-0889,1532-2548,[],,,,,,,,,,,,
WOS:A1993LG82600011,A RAPID SCREENING TECHNIQUE FOR SALT TOLERANCE IN RICE (ORYZA-SATIVA L),['Article'],['Article'],"[{'db': 'WOK', 'count': 123}]",PLANT AND SOIL,1993,MAR,150,,99-107,99,107,9,"[{'displayName': 'ASLAM, M', 'wosStandard': 'ASLAM, M', 'researcherId': 'CEB-3468-2022'}, {'displayName': 'QURESHI, RH', 'wosStandard': 'QURESHI, RH', 'researcherId': 'HLI-8086-2023'}, {'displayName': 'AHMED, N', 'wosStandard': 'AHMED, N', 'researcherId': 'HXW-2707-2023'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1993LG82600011&DestLinkType=FullRecord&DestApp=WOS_CPL,0032-079X,,"['RICE LINES', 'SALINITY TYPE', 'SALT-AFFECTED FIELD', 'SALT-TOLERANCE', 'SCREENING', 'SHORT TERM SALINITY EFFECT', 'SOIL CULTURE', 'SOLUTION CULTURE']",1,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1993LG82600011&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1993LG82600011&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.1007/BF00779180,,,,,,,,
WOS:A1993LM87700013,COMPARATIVE INDUCTION OF NITRATE AND NITRITE UPTAKE AND REDUCTION SYSTEMS BY AMBIENT NITRATE AND NITRITE IN INTACT ROOTS OF BARLEY (HORDEUM-VULGARE L) SEEDLINGS,['Article'],['Article'],"[{'db': 'WOK', 'count': 54}]",PLANT PHYSIOLOGY,1993,JUL,102,,811-819,811,819,9,"[{'displayName': 'ASLAM, M', 'wosStandard': 'ASLAM, M', 'researcherId': 'EKH-5041-2022'}, {'displayName': 'TRAVIS, RL', 'wosStandard': 'TRAVIS, RL', 'researcherId': 'CDO-9817-2022'}, {'displayName': 'HUFFAKER, RC', 'wosStandard': 'HUFFAKER, RC', 'researcherId': 'CUO-8534-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1993LM87700013&DestLinkType=FullRecord&DestApp=WOS_CPL,0032-0889,1532-2548,[],3,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1993LM87700013&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1993LM87700013&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.1104/pp.102.3.811,12231868,,,,,,,
WOS:A1994PY04600008,STIMULATION OF NITRATE AND NITRITE EFFLUX BY AMMONIUM IN BARLEY (HORDEUM-VULGARE L) SEEDLINGS,['Article'],['Article'],"[{'db': 'WOK', 'count': 44}]",PLANT PHYSIOLOGY,1994,DEC,106,,1293-1301,1293,1301,9,"[{'displayName': 'ASLAM, M', 'wosStandard': 'ASLAM, M', 'researcherId': 'EKH-5041-2022'}, {'displayName': 'TRAVIS, RL', 'wosStandard': 'TRAVIS, RL', 'researcherId': 'CDO-9817-2022'}, {'displayName': 'HUFFAKER, RC', 'wosStandard': 'HUFFAKER, RC', 'researcherId': 'CUO-8534-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1994PY04600008&DestLinkType=FullRecord&DestApp=WOS_CPL,0032-0889,,[],4,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1994PY04600008&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1994PY04600008&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.1104/pp.106.4.1293,12232410,,,,,,,
WOS:A1995TF15100006,WHITEFLY POPULATIONS IN GREENHOUSE CANTALOUP AS AFFECTED BY POULTRY MANURE AND INORGANIC NITROGEN-FERTILIZER APPLICATION,['Article'],['Article'],"[{'db': 'WOK', 'count': 3}]",BIOLOGICAL AGRICULTURE & HORTICULTURE,1995,,12,,277-281,277,281,5,"[{'displayName': 'RUBEIZ, IG', 'wosStandard': 'RUBEIZ, IG', 'researcherId': 'FTL-9000-2022'}, {'displayName': 'ASLAM, M', 'wosStandard': 'ASLAM, M', 'researcherId': 'HTX-9565-2023'}, {'displayName': 'CHAHINE, H', 'wosStandard': 'CHAHINE, H', 'researcherId': 'GEH-1702-2022'}, {'displayName': 'ALASSIR, IA', 'wosStandard': 'ALASSIR, IA', 'researcherId': 'IBO-3750-2023'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1995TF15100006&DestLinkType=FullRecord&DestApp=WOS_CPL,0144-8765,,[],3,,,10.1080/01448765.1995.9754747,,,,,,,,
WOS:A1995RD18400033,EFFECT OF PH AND CALCIUM ON SHORT-TERM NO3- FLUXES IN ROOTS OF BARLEY SEEDLINGS,['Article'],['Article'],"[{'db': 'WOK', 'count': 24}]",PLANT PHYSIOLOGY,1995,JUN,108,,727-734,727,734,8,"[{'displayName': 'ASLAM, M', 'wosStandard': 'ASLAM, M', 'researcherId': 'EKH-5041-2022'}, {'displayName': 'TRAVIS, RL', 'wosStandard': 'TRAVIS, RL', 'researcherId': 'CDO-9817-2022'}, {'displayName': 'HUFFAKER, RC', 'wosStandard': 'HUFFAKER, RC', 'researcherId': 'CUO-8534-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1995RD18400033&DestLinkType=FullRecord&DestApp=WOS_CPL,0032-0889,,[],2,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1995RD18400033&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1995RD18400033&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.1104/pp.108.2.727,11536695,,,,,,,
WOS:A1996UX87300002,Effect of root perturbation and excision on nitrate influx and efflux in barley (Hordeum vulgare) seedlings,['Article'],['Article'],"[{'db': 'WOK', 'count': 28}]",PHYSIOLOGIA PLANTARUM,1996,JUL,97,,425-432,425,432,8,"[{'displayName': 'Aslam, M', 'wosStandard': 'Aslam, M', 'researcherId': 'EKH-5041-2022'}, {'displayName': 'Travis, RL', 'wosStandard': 'Travis, RL', 'researcherId': 'CDO-9817-2022'}, {'displayName': 'Rains, DW', 'wosStandard': 'Rains, DW', 'researcherId': 'DNM-4321-2022'}, {'displayName': 'Huffaker, RC', 'wosStandard': 'Huffaker, RC', 'researcherId': 'CUO-8534-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1996UX87300002&DestLinkType=FullRecord&DestApp=WOS_CPL,0031-9317,,"['barley', 'efflux', 'excision', 'Hordeum vulgare', 'influx', 'nitrate', 'perturbation']",3,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1996UX87300002&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1996UX87300002&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.1111/j.1399-3054.1996.tb00499.x,11539190,,,,,,,
WOS:A1996VH60800009,Effect of ammonium on the regulation of nitrate and nitrite transport systems in roots of intact barley (Hordeum vulgare L) seedlings,['Article'],['Article'],"[{'db': 'WOK', 'count': 28}]",PLANTA,1996,SEP,200,,58-63,58,63,6,"[{'displayName': 'Aslam, M', 'wosStandard': 'Aslam, M', 'researcherId': 'EKH-5041-2022'}, {'displayName': 'Travis, RL', 'wosStandard': 'Travis, RL', 'researcherId': 'CDO-9817-2022'}, {'displayName': 'Rains, DW', 'wosStandard': 'Rains, DW', 'researcherId': 'DNM-4321-2022'}, {'displayName': 'Huffaker, RC', 'wosStandard': 'Huffaker, RC', 'researcherId': 'CUO-8534-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1996VH60800009&DestLinkType=FullRecord&DestApp=WOS_CPL,0032-0935,,"['ammonium', 'Hordeum', 'induction (ion uptake)', 'nitrate, nitrite uptake']",1,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1996VH60800009&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1996VH60800009&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,,,,,,,,
WOS:A1996VT97500032,Evidence for substrate induction of a nitrate efflux system in barley roots,['Article'],['Article'],"[{'db': 'WOK', 'count': 62}]",PLANT PHYSIOLOGY,1996,NOV,112,,1167-1175,1167,1175,9,"[{'displayName': 'Aslam, M', 'wosStandard': 'Aslam, M', 'researcherId': 'EKH-5041-2022'}, {'displayName': 'Travis, RL', 'wosStandard': 'Travis, RL', 'researcherId': 'CDO-9817-2022'}, {'displayName': 'Rains, DW', 'wosStandard': 'Rains, DW', 'researcherId': 'DNM-4321-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1996VT97500032&DestLinkType=FullRecord&DestApp=WOS_CPL,0032-0889,1532-2548,[],3,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1996VT97500032&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:A1996VT97500032&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.1104/pp.112.3.1167,12226438,,,,,,,
